epoch;accuracy;loss;val_accuracy;val_loss
0;0.4117647111415863;3.1245055198669434;0.0;1.471298098564148
1;0.4117647111415863;21.6282958984375;0.0;1.9183567762374878
2;0.47058823704719543;34.043251037597656;0.0;2.6977763175964355
3;0.7647058963775635;5.1112213134765625;0.0;3.495751142501831
4;1.0;0.16016976535320282;0.0;4.084634304046631
5;0.529411792755127;33.970943450927734;0.0;4.871307849884033
6;0.8235294222831726;6.313618183135986;0.0;5.796970367431641
7;0.8823529481887817;1.4906854629516602;0.0;6.968067646026611
8;0.8823529481887817;4.039895534515381;0.0;8.622709274291992
9;0.8235294222831726;13.876405715942383;0.0;10.548422813415527
