epoch;accuracy;loss;val_accuracy;val_loss

0;0.25;33.93865966796875;0.0;10.150959014892578

1;0.4318181872367859;13.74770450592041;0.0;7.077009201049805

2;0.5681818127632141;7.492556095123291;0.0;5.347925186157227

3;0.6022727489471436;5.195707321166992;0.0;4.263090133666992

4;0.6818181872367859;4.729347229003906;0.21739129722118378;3.18654465675354

5;0.7272727489471436;4.61257791519165;0.260869562625885;3.8562169075012207

6;0.8181818127632141;4.554084300994873;0.3913043439388275;4.226232528686523

7;0.7727272510528564;2.6870381832122803;0.47826087474823;3.7959988117218018

8;0.8409090638160706;3.0411503314971924;0.3478260934352875;4.920647144317627

9;0.8409090638160706;2.5569589138031006;0.3478260934352875;5.725492000579834

10;0.8863636255264282;2.222994327545166;0.17391304671764374;8.027039527893066

11;0.8977272510528564;1.8054817914962769;0.0;13.498221397399902

12;0.8863636255264282;1.986810326576233;0.0;18.87149429321289

13;0.9204545617103577;1.6678401231765747;0.0;23.578781127929688

14;0.9659090638160706;1.4057420492172241;0.0;26.758668899536133

15;0.9545454382896423;2.0224947929382324;0.0;30.17999839782715

16;0.9772727489471436;1.413230061531067;0.0;34.651390075683594

17;0.9545454382896423;1.511120319366455;0.0;37.53333282470703

18;0.9886363744735718;1.4665168523788452;0.0;39.77561950683594

19;0.9545454382896423;1.3935447931289673;0.0;42.61555480957031

