epoch;accuracy;loss;val_accuracy;val_loss

1;0.529411792755127;34.89508056640625;0.0;7.636390209197998

2;0.47058823704719543;34.59233856201172;0.0;7.601783752441406

3;0.6470588445663452;17.151649475097656;0.0;9.255304336547852

4;0.8235294222831726;4.954387187957764;0.0;10.376728057861328

5;0.7647058963775635;7.124577045440674;0.0;12.237836837768555

6;0.529411792755127;37.1705436706543;0.0;13.947468757629395

7;0.6470588445663452;9.417817115783691;0.0;15.993535995483398

8;0.9411764740943909;1.0073009729385376;0.0;17.633930206298828

9;0.7058823704719543;13.879143714904785;0.0;18.22398567199707

