epoch;accuracy;loss;val_accuracy;val_loss
0;0.11764705926179886;20.416810989379883;0.0;1.90934157371521
1;0.23529411852359772;20.53388214111328;0.0;2.1447041034698486
2;0.23529411852359772;21.668365478515625;0.0;2.489267587661743
3;0.3529411852359772;16.364688873291016;0.0;2.933706283569336
4;0.529411792755127;9.47126293182373;0.0;3.2952232360839844
5;0.529411792755127;29.69377326965332;0.0;3.55190372467041
6;0.6470588445663452;12.586760520935059;0.0;3.8440463542938232
7;0.5882353186607361;17.511363983154297;0.0;4.093687057495117
8;0.47058823704719543;18.65721893310547;0.0;4.332488059997559
9;0.7058823704719543;19.755067825317383;0.0;4.5327558517456055
