epoch;accuracy;loss;val_accuracy;val_loss

0;0.1931818127632141;17.049020767211914;0.0;2.630449056625366

1;0.35227271914482117;25.021575927734375;0.260869562625885;2.0416009426116943

2;0.3863636255264282;11.626173973083496;0.5652173757553101;1.2332655191421509

3;0.4886363744735718;9.082598686218262;0.739130437374115;0.6844048500061035

4;0.4545454680919647;7.55172872543335;0.9130434989929199;0.1852659434080124

5;0.5681818127632141;4.673977375030518;1.0;0.0683167427778244

6;0.6022727489471436;3.6202690601348877;0.95652174949646;0.11370722949504852

7;0.5568181872367859;2.4503719806671143;0.8695651888847351;0.3335675895214081

8;0.6477272510528564;2.139427423477173;0.8260869383811951;0.5834418535232544

9;0.6363636255264282;2.0113279819488525;0.6086956262588501;0.9516069889068604

